IP地址,国家代码,地点,网络,邮政编码,大致坐标*,精度半径(km),互联网服务供应商,组织,领域,地铁代码
120.6.131.10,快遞 之 家,秦皇島，河北，中國，,120.6.128.0/18,,"39.9357,119.5884",1000,中國聯通,中國聯通,,
,,,,,,,,,,
,,,,,,,,,,
,,亞洲,,,,,,,,
223.66.118.103,快遞 之 家,徐州，江蘇，中國，,223.66.112.0/21,,"34.1823,117.1519",200,中國移動,中國移動,chinamobile.com,
,,,,,,,,,,
,,,,,,,,,,
,,亞洲,,,,,,,,
123.139.35.119,快遞 之 家,西安，,123.139.32.0/22,,"34.3287,109.0337",500,中國聯通,中國聯通,,
,,陝西，中國，,,,,,,,,
,,,,,,,,,,
,,亞洲,,,,,,,,
183.228.26.223,快遞 之 家,重慶，重慶，中國，,183.228.16.0/20,,"29.5689,106.5577",1000,中國移動,中國移動,,
,,,,,,,,,,
,,,,,,,,,,
,,亞洲,,,,,,,,
39.128.117.90,快遞 之 家,小河口，雲南，中國，,39.128.116.0/23,,"24.576,102.5491",1000,中國移動,中國移動,,
,,,,,,,,,,
,,,,,,,,,,
,,亞洲,,,,,,,,
223.67.203.222,快遞 之 家,新都，江蘇，中國，,223.67.192.0/20,,"33.3364,120.1528",500,中國移動,中國移動,chinamobile.com,
,,,,,,,,,,
,,,,,,,,,,
,,亞洲,,,,,,,,
58.16.216.161,快遞 之 家,六盤水，貴州，中國，,58.16.192.0/19,,"26.59,104.8311",500,中國聯通,中國聯通,,
,,,,,,,,,,
,,,,,,,,,,
,,亞洲,,,,,,,,
36.44.142.143,快遞 之 家,西安，,36.44.128.0/20,,"34.3287,109.0337",200,中國電信,中國電信,,
,,陝西，中國，,,,,,,,,
,,,,,,,,,,
,,亞洲,,,,,,,,
113.134.37.185,快遞 之 家,西安，,113.134.32.0/19,,"34.3287,109.0337",20,中國電信,中國電信,,
,,陝西，中國，,,,,,,,,
,,,,,,,,,,
,,亞洲,,,,,,,,
223.102.216.35,快遞 之 家,本溪，遼寧，中國，,223.102.208.0/20,,"41.3046,123.7509",1000,中國移動,中國移動,,
,,,,,,,,,,
,,,,,,,,,,
,,亞洲,,,,,,,,
36.41.82.118,快遞 之 家,深圳，廣東，中國，,36.41.80.0/20,,"22.5559,114.0577",1000,中國電信,中國電信,,
,,,,,,,,,,
,,,,,,,,,,
,,亞洲,,,,,,,,
223.67.48.255,快遞 之 家,泰興，江蘇，中國，,223.67.48.0/20,,"32.1642,120.011",200,中國移動,中國移動,chinamobile.com,
,,,,,,,,,,
,,,,,,,,,,
,,亞洲,,,,,,,,
